"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Andover","0901301080",2008,"1","Percent","Students absent 20 or more days",0
"Ansonia","0900901220",2008,"1","Percent","Students absent 20 or more days",8.6
"Ashford","0901501430",2008,"1","Percent","Students absent 20 or more days",2.4
"Avon","0900302060",2008,"1","Percent","Students absent 20 or more days",5.2
"Barkhamsted","0900502760",2008,"1","Percent","Students absent 20 or more days",3.6
"Beacon Falls","0900903250",2008,"1","Percent","Students absent 20 or more days",5.3
"Berlin","0900304300",2008,"1","Percent","Students absent 20 or more days",2.7
"Bethany","0900904580",2008,"1","Percent","Students absent 20 or more days",2.8
"Bethel","0900104720",2008,"1","Percent","Students absent 20 or more days",5.3
"Bethlehem","0900504930",2008,"1","Percent","Students absent 20 or more days",14.5
"Bloomfield","0900305910",2008,"1","Percent","Students absent 20 or more days",0.6
"Bolton","0901306260",2008,"1","Percent","Students absent 20 or more days",1.9
"Bozrah","0901106820",2008,"1","Percent","Students absent 20 or more days",4
"Branford","0900907310",2008,"1","Percent","Students absent 20 or more days",7.2
"Bridgeport","0900108070",2008,"1","Percent","Students absent 20 or more days",14.1
"Bridgewater","0900508210",2008,"1","Percent","Students absent 20 or more days",2.9
"Bristol","0900308490",2008,"1","Percent","Students absent 20 or more days",12.1
"Brookfield","0900108980",2008,"1","Percent","Students absent 20 or more days",2.4
"Brooklyn","0901509190",2008,"1","Percent","Students absent 20 or more days",5.3
"Burlington","0900310100",2008,"1","Percent","Students absent 20 or more days",1.7
"Canaan","0900510940",2008,"1","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2008,"1","Percent","Students absent 20 or more days",3.2
"Canton","0900312270",2008,"1","Percent","Students absent 20 or more days",0.8
"Chaplin","0901513810",2008,"1","Percent","Students absent 20 or more days",5.3
"Cheshire","0900914160",2008,"1","Percent","Students absent 20 or more days",1.7
"Chester","0900714300",2008,"1","Percent","Students absent 20 or more days",8.3
"Clinton","0900715350",2008,"1","Percent","Students absent 20 or more days",4.7
"Colchester","0901115910",2008,"1","Percent","Students absent 20 or more days",2.2
"Colebrook","0900516050",2008,"1","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2008,"1","Percent","Students absent 20 or more days",3.2
"Cornwall","0900517240",2008,"1","Percent","Students absent 20 or more days",0
"Coventry","0901317800",2008,"1","Percent","Students absent 20 or more days",7.2
"Cromwell","0900718080",2008,"1","Percent","Students absent 20 or more days",6.8
"Danbury","0900118500",2008,"1","Percent","Students absent 20 or more days",5.1
"Darien","0900118850",2008,"1","Percent","Students absent 20 or more days",1.4
"Deep River","0900719130",2008,"1","Percent","Students absent 20 or more days",3.7
"Derby","0900919550",2008,"1","Percent","Students absent 20 or more days",9.9
"Durham","0900720810",2008,"1","Percent","Students absent 20 or more days",3
"East Granby","0900322070",2008,"1","Percent","Students absent 20 or more days",1.1
"East Haddam","0900722280",2008,"1","Percent","Students absent 20 or more days",4.4
"East Hampton","0900722490",2008,"1","Percent","Students absent 20 or more days",2.6
"East Hartford","0900322630",2008,"1","Percent","Students absent 20 or more days",14.1
"East Haven","0900922910",2008,"1","Percent","Students absent 20 or more days",10.4
"East Lyme","0901123400",2008,"1","Percent","Students absent 20 or more days",2.1
"East Windsor","0900324800",2008,"1","Percent","Students absent 20 or more days",11.6
"Eastford","0901521860",2008,"1","Percent","Students absent 20 or more days",4.5
"Easton","0900123890",2008,"1","Percent","Students absent 20 or more days",0.8
"Ellington","0901325360",2008,"1","Percent","Students absent 20 or more days",2.5
"Enfield","0900325990",2008,"1","Percent","Students absent 20 or more days",3.8
"Essex","0900726270",2008,"1","Percent","Students absent 20 or more days",0
"Fairfield","0900126620",2008,"1","Percent","Students absent 20 or more days",2.5
"Farmington","0900327600",2008,"1","Percent","Students absent 20 or more days",4.1
"Franklin","0901129910",2008,"1","Percent","Students absent 20 or more days",0
"Glastonbury","0900331240",2008,"1","Percent","Students absent 20 or more days",1.7
"Granby","0900332640",2008,"1","Percent","Students absent 20 or more days",0.6
"Greenwich","0900133620",2008,"1","Percent","Students absent 20 or more days",5.8
"Griswold","0901133900",2008,"1","Percent","Students absent 20 or more days",3.5
"Groton","0901134250",2008,"1","Percent","Students absent 20 or more days",6.7
"Guilford","0900934950",2008,"1","Percent","Students absent 20 or more days",1.5
"Haddam","0900735230",2008,"1","Percent","Students absent 20 or more days",4
"Hamden","0900935650",2008,"1","Percent","Students absent 20 or more days",5.2
"Hampton","0901536000",2008,"1","Percent","Students absent 20 or more days",13.3
"Hartford","0900337070",2008,"1","Percent","Students absent 20 or more days",17.4
"Hartland","0900337140",2008,"1","Percent","Students absent 20 or more days",0
"Harwinton","0900537280",2008,"1","Percent","Students absent 20 or more days",1.7
"Hebron","0901337910",2008,"1","Percent","Students absent 20 or more days",0.7
"Kent","0900540290",2008,"1","Percent","Students absent 20 or more days",3
"Killingly","0901540500",2008,"1","Percent","Students absent 20 or more days",8.1
"Killingworth","0900740710",2008,"1","Percent","Students absent 20 or more days",4
"Lebanon","0901142390",2008,"1","Percent","Students absent 20 or more days",3.1
"Ledyard","0901142600",2008,"1","Percent","Students absent 20 or more days",2.9
"Lisbon","0901143230",2008,"1","Percent","Students absent 20 or more days",5.7
"Litchfield","0900543370",2008,"1","Percent","Students absent 20 or more days",0
"Lyme","0901144210",2008,"1","Percent","Students absent 20 or more days",15.5
"Madison","0900944560",2008,"1","Percent","Students absent 20 or more days",2.1
"Manchester","0900344700",2008,"1","Percent","Students absent 20 or more days",8.9
"Mansfield","0901344910",2008,"1","Percent","Students absent 20 or more days",1.5
"Marlborough","0900345820",2008,"1","Percent","Students absent 20 or more days",3
"Meriden","0900946520",2008,"1","Percent","Students absent 20 or more days",1.5
"Middlebury","0900946940",2008,"1","Percent","Students absent 20 or more days",2.1
"Middlefield","0900747080",2008,"1","Percent","Students absent 20 or more days",3
"Middletown","0900747360",2008,"1","Percent","Students absent 20 or more days",7.4
"Milford","0900947535",2008,"1","Percent","Students absent 20 or more days",3.6
"Monroe","0900148620",2008,"1","Percent","Students absent 20 or more days",3
"Montville","0901148900",2008,"1","Percent","Students absent 20 or more days",5.3
"Naugatuck","0900949950",2008,"1","Percent","Students absent 20 or more days",9.1
"New Britain","0900350440",2008,"1","Percent","Students absent 20 or more days",10.8
"New Canaan","0900150580",2008,"1","Percent","Students absent 20 or more days",5.6
"New Fairfield","0900150860",2008,"1","Percent","Students absent 20 or more days",2.9
"New Hartford","0900551350",2008,"1","Percent","Students absent 20 or more days",2.4
"New Haven","0900952070",2008,"1","Percent","Students absent 20 or more days",15.7
"New London","0901152350",2008,"1","Percent","Students absent 20 or more days",14.2
"New Milford","0900552630",2008,"1","Percent","Students absent 20 or more days",5.9
"Newington","0900352140",2008,"1","Percent","Students absent 20 or more days",2.3
"Newtown","0900152980",2008,"1","Percent","Students absent 20 or more days",3.3
"Norfolk","0900553470",2008,"1","Percent","Students absent 20 or more days",0
"North Branford","0900953890",2008,"1","Percent","Students absent 20 or more days",2.9
"North Canaan","0900554030",2008,"1","Percent","Students absent 20 or more days",11.1
"North Haven","0900954870",2008,"1","Percent","Students absent 20 or more days",5
"North Stonington","0901155500",2008,"1","Percent","Students absent 20 or more days",1.9
"Norwalk","0900156060",2008,"1","Percent","Students absent 20 or more days",4.8
"Norwich","0901156270",2008,"1","Percent","Students absent 20 or more days",8.5
"Old Lyme","0901157040",2008,"1","Percent","Students absent 20 or more days",15.5
"Old Saybrook","0900757320",2008,"1","Percent","Students absent 20 or more days",5
"Orange","0900957600",2008,"1","Percent","Students absent 20 or more days",0.6
"Oxford","0900958300",2008,"1","Percent","Students absent 20 or more days",3.9
"Plainfield","0901559980",2008,"1","Percent","Students absent 20 or more days",5.3
"Plainville","0900360120",2008,"1","Percent","Students absent 20 or more days",1.2
"Plymouth","0900560750",2008,"1","Percent","Students absent 20 or more days",0
"Pomfret","0901561030",2008,"1","Percent","Students absent 20 or more days",3.9
"Portland","0900761800",2008,"1","Percent","Students absent 20 or more days",3.9
"Preston","0901162150",2008,"1","Percent","Students absent 20 or more days",7.3
"Prospect","0900962290",2008,"1","Percent","Students absent 20 or more days",5.3
"Putnam","0901562710",2008,"1","Percent","Students absent 20 or more days",11.3
"Redding","0900163480",2008,"1","Percent","Students absent 20 or more days",2.8
"Ridgefield","0900163970",2008,"1","Percent","Students absent 20 or more days",5.1
"Rocky Hill","0900365370",2008,"1","Percent","Students absent 20 or more days",4.4
"Roxbury","0900565930",2008,"1","Percent","Students absent 20 or more days",2.9
"Salem","0901166210",2008,"1","Percent","Students absent 20 or more days",0
"Salisbury","0900566420",2008,"1","Percent","Students absent 20 or more days",4.5
"Scotland","0901567400",2008,"1","Percent","Students absent 20 or more days",4.5
"Seymour","0900967610",2008,"1","Percent","Students absent 20 or more days",6.5
"Sharon","0900567960",2008,"1","Percent","Students absent 20 or more days",3.8
"Shelton","0900168170",2008,"1","Percent","Students absent 20 or more days",5
"Sherman","0900168310",2008,"1","Percent","Students absent 20 or more days",2
"Simsbury","0900368940",2008,"1","Percent","Students absent 20 or more days",3.4
"Somers","0901369220",2008,"1","Percent","Students absent 20 or more days",5.6
"South Windsor","0900371390",2008,"1","Percent","Students absent 20 or more days",16.6
"Southbury","0900969640",2008,"1","Percent","Students absent 20 or more days",2.1
"Southington","0900370550",2008,"1","Percent","Students absent 20 or more days",3.4
"Sprague","0901171670",2008,"1","Percent","Students absent 20 or more days",2.7
"Stafford","0901372090",2008,"1","Percent","Students absent 20 or more days",6.3
"Stamford","0900173070",2008,"1","Percent","Students absent 20 or more days",10.6
"Sterling","0901573420",2008,"1","Percent","Students absent 20 or more days",6.8
"Stonington","0901173770",2008,"1","Percent","Students absent 20 or more days",5.4
"Stratford","0900174190",2008,"1","Percent","Students absent 20 or more days",4.9
"Suffield","0900374540",2008,"1","Percent","Students absent 20 or more days",3.3
"Thomaston","0900575730",2008,"1","Percent","Students absent 20 or more days",2
"Thompson","0901575870",2008,"1","Percent","Students absent 20 or more days",6.2
"Tolland","0901376290",2008,"1","Percent","Students absent 20 or more days",4.1
"Torrington","0900576570",2008,"1","Percent","Students absent 20 or more days",6.8
"Trumbull","0900177200",2008,"1","Percent","Students absent 20 or more days",0
"Union","0901377830",2008,"1","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2008,"1","Percent","Students absent 20 or more days",4.2
"Voluntown","0901178600",2008,"1","Percent","Students absent 20 or more days",10.7
"Wallingford","0900978740",2008,"1","Percent","Students absent 20 or more days",8
"Washington","0900579720",2008,"1","Percent","Students absent 20 or more days",2.9
"Waterbury","0900980070",2008,"1","Percent","Students absent 20 or more days",3.9
"Waterford","0901180280",2008,"1","Percent","Students absent 20 or more days",1.5
"Watertown","0900580490",2008,"1","Percent","Students absent 20 or more days",3.5
"West Hartford","0900382590",2008,"1","Percent","Students absent 20 or more days",3.1
"West Haven","0900982870",2008,"1","Percent","Students absent 20 or more days",9.7
"Westbrook","0900781680",2008,"1","Percent","Students absent 20 or more days",0
"Weston","0900183430",2008,"1","Percent","Students absent 20 or more days",6.4
"Westport","0900183500",2008,"1","Percent","Students absent 20 or more days",4.2
"Wethersfield","0900384900",2008,"1","Percent","Students absent 20 or more days",3
"Willington","0901385950",2008,"1","Percent","Students absent 20 or more days",7.8
"Wilton","0900186370",2008,"1","Percent","Students absent 20 or more days",2.1
"Winchester","0900586440",2008,"1","Percent","Students absent 20 or more days",5.8
"Windham","0901586790",2008,"1","Percent","Students absent 20 or more days",11.5
"Windsor","0900387000",2008,"1","Percent","Students absent 20 or more days",4.6
"Windsor Locks","0900387070",2008,"1","Percent","Students absent 20 or more days",1.7
"Wolcott","0900987560",2008,"1","Percent","Students absent 20 or more days",1
"Woodbridge","0900987700",2008,"1","Percent","Students absent 20 or more days",0
"Woodbury","0900587910",2008,"1","Percent","Students absent 20 or more days",14.5
"Woodstock","0901588190",2008,"1","Percent","Students absent 20 or more days",6.4
"Andover","0901301080",2009,"1","Percent","Students absent 20 or more days",2.2
"Ansonia","0900901220",2009,"1","Percent","Students absent 20 or more days",8.6
"Ashford","0901501430",2009,"1","Percent","Students absent 20 or more days",2.9
"Avon","0900302060",2009,"1","Percent","Students absent 20 or more days",3.5
"Barkhamsted","0900502760",2009,"1","Percent","Students absent 20 or more days",0
