"Town","FIPS","Year","Grade","Race","SubsidizedMealEligibility","LanguageTrack","Disability","MeasureType","Variable","Value"
"Andover","0901301080",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",0.68
"Ansonia","0900901220",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.27
"Ashford","0901501430",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.07
"Avon","0900302060",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.31
"Barkhamsted","0900502760",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.2
"Beacon Falls","0900903250",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.48
"Berlin","0900304300",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.76
"Bethany","0900904580",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.15
"Bethel","0900104720",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.06
"Bethlehem","0900504930",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.08
"Bloomfield","0900305910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.42
"Bolton","0901306260",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.63
"Bozrah","0901106820",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.34
"Branford","0900907310",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.36
"Bridgeport","0900108070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",19.87
"Bridgewater","0900508210",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.24
"Bristol","0900308490",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.46
"Brookfield","0900108980",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.81
"Brooklyn","0901509190",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.84
"Burlington","0900310100",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",8.78
"Canaan","0900510940",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.71
"Canterbury","0901512130",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.74
"Canton","0900312270",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.49
"Chaplin","0901513810",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.55
"Cheshire","0900914160",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.39
"Chester","0900714300",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.77
"Clinton","0900715350",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",10.52
"Colchester","0901115910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.41
"Colebrook","0900516050",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",0.98
"Columbia","0901316400",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.89
"Connecticut","09",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.01
"Cornwall","0900517240",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.66
"Coventry","0901317800",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.17
"Cromwell","0900718080",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",6.18
"Danbury","0900118500",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.54
"Darien","0900118850",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.06
"Deep River","0900719130",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.34
"Derby","0900919550",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",12.91
"Durham","0900720810",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.4
"East Granby","0900322070",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.12
"East Haddam","0900722280",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",7.69
"East Hampton","0900722490",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.91
"East Hartford","0900322630",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",9.88
"East Haven","0900922910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",17.28
"East Lyme","0901123400",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.98
"East Windsor","0900324800",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.53
"Eastford","0901521860",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.73
"Easton","0900123890",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.1
"Ellington","0901325360",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.36
"Enfield","0900325990",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",11.58
"Essex","0900726270",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.88
"Fairfield","0900126620",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.16
"Farmington","0900327600",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.47
"Franklin","0901129910",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",2.76
"Glastonbury","0900331240",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",3.4
"Goshen","0900532290",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.26
"Granby","0900332640",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",4.57
"Greenwich","0900133620",2012,"K through 12",NA,NA,NA,NA,"Percent","Students Chronically Absent",5.62
